novel_name,author,collects,reviews,month
修罗武神,善良的蜜蜂,2201082,3988965700,103494809.0
超级兵王,步千帆,363702,325057345,27865134.0
九星霸体诀,平凡魔术师,134069,182944982,21554205.0
武逆,只是小虾米,351418,408241557,15772552.0
龙符,梦入神机,483169,226300822,15724002.0
传奇再现,伪戒,242734,424263161,14707570.0
混沌剑神,心星逍遥,448526,275722940,13383075.0
大逆之门,知白,107925,146303222,12030996.0
万域之王,逆苍天,220962,168436532,11235802.0
终极教官,梁七少,99900,230305702,11218750.0
女神的近身护卫,肥茄子,124943,233477537,11166228.0
龙血战神,风青阳,1031923,518839023,10733941.0
人皇纪,皇甫奇,272013,927599865,9185087.0
贴身兵王,笑笑星儿,210810,230448497,7303242.0
火帝神尊,西门飘血,116570,121762292,7212735.0
傲世丹神, 寂小贼,232158,450444345,6517656.0
美女请留步,老施,2744057,533009201,5934897.0
斩龙,失落叶,3628704,1063149101,5456037.0
武道至尊,暗夜幽殇,194119,222315570,5342327.0
权力巅峰,梦入洪荒,1068346,148625857,5254543.0
