novel_name,author,novelurl,serialstatus,serialnumber,category,collects,reviews,month
紫阳,风御九秋,http://www.17k.com/book/715640.html,完本,1901299,灵异奇谈,1492462,17622188,851871
我就是传奇,伪戒,http://www.17k.com/book/963814.html,完本,3147020,现实经历,249417,17881914,1154349
TFBOYS之雪花飘落,蝴蝶and爱恋,http://www.17k.com/book/1224061.html,连载,277636,影视同人,5944,17916002,81531
残袍,风御九秋,http://www.17k.com/book/465602.html,完本,1519793,探险揭秘,476573,18409241,822002
做偶像和修真哪个难,流神武车,http://www.17k.com/book/1601780.html,连载,2729620,萌系小说,128972,20780108,71362
青囊尸衣,鲁班尺,http://www.17k.com/book/1537375.html,完本,1291547,恐怖悬疑,41,20886142,621522
末世恋爱法则,八面妖狐,http://www.17k.com/book/2264063.html,连载,1296870,萌系小说,56520,21300529,65780
我的灵异档案,纳兰坤,http://www.17k.com/book/1024717.html,完本,3555371,灵异奇谈,45816,21622335,263435
滴血瞳,丫丫不学语,http://www.17k.com/book/2184385.html,连载,2876288,灵异奇谈,14266,22582208,29059
我们都是坏孩子,伪戒,http://www.17k.com/book/489705.html,完本,3598091,现实经历,198301,22600495,1515948
吃心不改,石欢,http://www.17k.com/book/1471822.html,完本,1736388,婚恋情感,4557,23187691,7250
奇侦异案,先笙,http://www.17k.com/book/1597255.html,完本,1000569,侦探推理,1742,26467708,26063
军人培训园之天使的宫斗,爱加卡,http://chuangshi.qq.com/bk/ls/20586689.html,连载中,22955,历史,112,1120,8
逍遥之重生至尊,多忘,http://chuangshi.qq.com/bk/xh/20709695.html,连载中,30902,玄幻,81,808,16
权力顶峰,方宏,http://chuangshi.qq.com/bk/ls/15015925.html,连载中,1018907,历史,6939,24039,32
超强小神农,秋风霁月,http://chuangshi.qq.com/bk/ds/14173899.html,连载中,2414673,都市,48812,123441,296
帝之篮,深海沉,http://chuangshi.qq.com/bk/ty/19929025.html,连载中,698143,体育,1032,10324,16
超级天道书院,子不言永,http://chuangshi.qq.com/bk/xh/16886605.html,连载中,1388102,玄幻,15833,37708,280
美女明星的绝世高手,一介书生0,http://chuangshi.qq.com/bk/ds/19837508.html,连载中,611756,都市,7300,69628,56
混沌霸天决,不穿脚的鞋,http://chuangshi.qq.com/bk/xh/13654454.html,连载中,2570120,玄幻,41977,217410,416
最强齐天大圣,九尾玄龟,http://chuangshi.qq.com/bk/kh/15774429.html,连载中,1027029,科幻,40134,167578,776
重生之大帝归来,买一个,http://chuangshi.qq.com/bk/xx/19502287.html,连载中,137867,仙侠,543,3834,88
超级大宗师系统,砼道中人,http://chuangshi.qq.com/bk/wx/19661960.html,连载中,605101,武侠,22407,28838,52
白日梦与梦想家：拾梦之年,车俊凡,http://chuangshi.qq.com/bk/ds/20578085.html,连载中,65599,都市,145,1453,8
梦灵之灵,叶影蝶,http://chuangshi.qq.com/bk/xh/15040380.html,已完结,66683,玄幻,244,2436,16
三界红包群,小教主,http://chuangshi.qq.com/bk/ds/13665778.html,连载中,3611279,都市,323707,628826,1600
斗与罗,姚东,http://chuangshi.qq.com/bk/xh/20698422.html,连载中,37317,玄幻,85,848,16
狂暴仙医,莽浪,http://chuangshi.qq.com/bk/ds/14589124.html,连载中,3061742,都市,64009,122221,292
极炎仙尊,火星上卖猫,http://chuangshi.qq.com/bk/xh/16689108.html,连载中,2124969,玄幻,10966,48869,204
颠覆三国记,伏波飘萍,http://chuangshi.qq.com/bk/ls/14071533.html,连载中,1674584,历史,3462,32229,24
超能斗士,敖凯,http://chuangshi.qq.com/bk/ds/19756783.html,连载中,407043,都市,4803,17732,192
神皇御龙诀,墨剑长风,http://chuangshi.qq.com/bk/xh/20306233.html,连载中,143478,玄幻,456,4355,100
大日章,被辐射的鲷鱼,http://chuangshi.qq.com/bk/xx/15312327.html,连载中,1397612,仙侠,2330,22026,20
万骨天梯,东港青年,http://chuangshi.qq.com/bk/xh/11650131.html,连载中,2524897,玄幻,26895,62194,216
军人培训园之天使的宫斗,爱加卡,http://chuangshi.qq.com/bk/ls/20586689.html,连载中,22955,历史,112,1124,8
逍遥之重生至尊,多忘,http://chuangshi.qq.com/bk/xh/20709695.html,连载中,30902,玄幻,81,808,16
权力顶峰,方宏,http://chuangshi.qq.com/bk/ls/15015925.html,连载中,1018907,历史,6939,24039,32
超强小神农,秋风霁月,http://chuangshi.qq.com/bk/ds/14173899.html,连载中,2414673,都市,48812,123441,296
超级天道书院,子不言永,http://chuangshi.qq.com/bk/xh/16886605.html,连载中,1388102,玄幻,15834,37715,284
帝之篮,深海沉,http://chuangshi.qq.com/bk/ty/19929025.html,连载中,698143,体育,1032,10324,16
美女明星的绝世高手,一介书生0,http://chuangshi.qq.com/bk/ds/19837508.html,连载中,611756,都市,7300,69633,56
神魔传承之逆天问道,日天证道,http://chuangshi.qq.com/bk/xh/20753670.html,连载中,6324,玄幻,13,128,12
我的绝色总裁夫人,川东第三帅,http://chuangshi.qq.com/bk/ds/19329632.html,连载中,1076867,都市,26273,94617,480
我的非一般学院生活,红酸雨,http://chuangshi.qq.com/bk/2cy/20006689.html,连载中,168465,二次元,703,6729,20
齐天大圣之轮回归来,梁园月,http://chuangshi.qq.com/bk/xx/11672082.html,连载中,4194232,仙侠,55170,249164,96
吾有一鼎,孤单的月半子,http://chuangshi.qq.com/bk/xh/20676759.html,连载中,93848,玄幻,109,1095,12
身世复仇之路,落魄的流浪狗,http://chuangshi.qq.com/bk/xh/20726919.html,连载中,10522,玄幻,25,245,8
超能空间,离心之箭,http://book.zongheng.com/book/661577.html,连载中,209168,都市,7,1017,232
冥府刑侦档案,绝对幽灵,http://book.zongheng.com/book/687403.html,连载中,18168,推理,0,45,11
朝天阙,侯之青铜,http://book.zongheng.com/book/691985.html,连载中,218090,历史,2735,766244,212012
我体内有个修仙界,西园林,http://book.zongheng.com/book/654626.html,连载中,1557811,玄幻,669,60884,11960
炎武斗神,旧日余音,http://book.zongheng.com/book/712411.html,连载中,8594,玄幻,1,9,9
十二个我,精木,http://book.zongheng.com/book/712164.html,连载中,7938,都市,16,6,6
跃天命,你的良心不会痛么,http://book.zongheng.com/book/712023.html,连载中,35142,神话,1,53,53
末世寒伤,麦克沙漠,http://book.zongheng.com/book/712569.html,连载中,6569,末世,0,2,0
梦依旧情还在,弘毅凌霄,http://book.zongheng.com/book/708635.html,连载中,87182,重生,7,63,63
元尊,天蚕土豆,http://book.zongheng.com/book/685640.html,连载中,227995,玄幻,28529,10116142,5571950
极品小渔民,语系石头,http://book.zongheng.com/book/654012.html,连载中,1427645,都市,1012,85637,5783
神炼天下,剑钓寒江,http://book.zongheng.com/book/702551.html,连载中,237312,玄幻,200,11503,7475
极品大玩家,杨春白雪,http://book.zongheng.com/book/704711.html,连载中,332116,都市,656,14729,13107
诗歌散文,元心故去,http://book.zongheng.com/book/706166.html,连载中,13046,文集,5,121,77
傲天逆尊,李当心,http://book.zongheng.com/book/712236.html,连载中,12814,争霸,23,15,12
赤生瞳,冷羽无情,http://book.zongheng.com/book/698883.html,连载中,2297829,异世,97,1223,542
神机圣域,桥帮一匹狼,http://book.zongheng.com/book/689400.html,连载中,17445,玄幻,0,14,2
华娱大亨,我是吕三少,http://book.zongheng.com/book/671656.html,连载中,1040899,重生,299,21573,3861
我欲叛天,煜舟,http://book.zongheng.com/book/712270.html,连载中,18851,异世,0,0,0
道法双修,月满东楼,http://book.zongheng.com/book/691441.html,连载中,235880,玄幻,22,1103,932
造化无疆,小宁k,http://book.zongheng.com/book/710641.html,连载中,47222,异世,1,44,44
日落索伦沁,tianmu,http://book.zongheng.com/book/710541.html,连载中,65365,历史,20,378,377
穿越从食戟开始,吃土的神仙,http://book.zongheng.com/book/696810.html,连载中,201801,同人,33,2085,1432
剑御九重天,澜风木羽,http://book.zongheng.com/book/645752.html,连载中,2413749,玄幻,1468,86470,30624
重生之小人物的奋斗,累世,http://book.zongheng.com/book/592676.html,连载中,1510183,重生,779,63424,8321
麒麟阁之宿命,朝流暮坠,http://book.zongheng.com/book/652779.html,连载中,798797,武侠,8,1366,138
主神雇佣兵,幻火妖狐,http://book.zongheng.com/book/708237.html,连载中,55959,争霸,1,84,84
转眼成梦,木叶子,http://book.zongheng.com/book/711040.html,连载中,10503,异世,0,8,8
惊仙渡,十七的七,http://book.zongheng.com/book/712286.html,连载中,9676,修真,0,17,16
谈情不说爱,柒枧,http://book.zongheng.com/book/685261.html,连载中,171772,都市,6,463,171
却待新兰满长街,两字,http://book.zongheng.com/book/709348.html,连载中,79547,架空,25,89,89
郁闷的基金会主席,破碎的河流,http://book.zongheng.com/book/711696.html,连载中,35701,商战,0,15,15
重生之茫然,胖沐,http://book.zongheng.com/book/711665.html,连载中,6715,重生,6,20,20
凡武传,奕天行,http://book.zongheng.com/book/711372.html,连载中,42544,异世,5,20,20
妖魔大帝,我是吕三少,http://book.zongheng.com/book/701924.html,连载中,206605,玄幻,299,4147,3962
九阳圣主,塔Q的飞机,http://book.zongheng.com/book/620488.html,连载中,946848,玄幻,685,20520,391
非正常生物历险记,光明食指,http://book.zongheng.com/book/701597.html,连载中,189261,游戏,5,425,313
藏锋,他曾是少年,http://book.zongheng.com/book/690662.html,连载中,506209,玄幻,4119,1659695,43687
大魔战天,www.xxsy.net/info/803465.html,已完成,1071433,现言,432,22332000,5282
纨绔拽媳,渝人,http://www.xxsy.net/info/815424.html,连载中,2361899,现言,14000,23175000,235927
千金嫁到之染指俏总裁,花间妖,http://www.xxsy.net/info/806978.html,已完成,1900733,现言,870,23535000,16969
一品嫡妃,我吃元宝,http://www.xxsy.net/info/806835.html,已完成,3616007,古言,24000,24795000,128920
豪门隐婚之闪来的爱妻,格子虫,http://www.xxsy.net/info/812790.html,已完成,1520578,现言,828,25058000,31735
妖王的心尖爱妃,雨凉,http://www.xxsy.net/info/815130.html,已完成,848298,古言,803,25081000,15249
??男魔王的养成计划,南海无双,http://www.17k.com/book/1525156.html,完本,1638252,宅系小说,1454,31328225,1025
甜心教练：撩个校草打篮球,咻咻米,http://www.17k.com/book/2196238.html,连载,730948,校园青春,34015,31326652,27987
何所冬暖,顾西爵,http://www.17k.com/book/222445.html,完本,107673,纯爱青春,1520,31724871,120353
阴阳符,拉风的树,http://www.17k.com/book/1143012.html,连载,2910013,探险揭秘,34642,32019010,150031
古墓密码,伍一书,http://www.17k.com/book/1342951.html,完本,2166983,探险揭秘,6314,34134002,94164
救世主都是美少女,哀伤的鲍鱼,http://www.17k.com/book/1592435.html,连载,1787746,萌系小说,73269,35569197,45951
闪爱成婚,清凉如意,http://www.17k.com/book/1309823.html,完本,2446604,婚恋情感,8779,37006552,64411
伏藏师,飞天,http://www.17k.com/book/699844.html,完本,2404541,探险揭秘,28200,40210385,113139
天后十六岁,纳兰十九,http://www.17k.com/book/2375534.html,连载,339392,校园青春,3287,42018987,101742
重生好媳妇,果子姑娘,http://www.17k.com/book/1286550.html,完本,1835349,婚恋情感,13962,61919016,484200
萌神恋爱学院,八面妖狐,http://www.17k.com/book/1415815.html,连载,2470872,幻想爆笑,73484,71758956,75349
宠妾作死日常,月下微尘,http://www.17k.com/book/2185865.html,连载,1451206,古代重生,2176,17197425,517104
忠犬先森他姓温,夜姗澜,http://www.17k.com/book/1842611.html,完本,1879297,婚恋爱情,2369,17570203,112058
恶魔殿下的绝版溺宠,小山茉莉,http://www.17k.com/book/572662.html,完本,888888,青青校园,11486,18109336,1086009
